127.0.0.1 - - [14/Apr/2023:14:33:27 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:33:31 +0530] "GET /e-society/index.jsp HTTP/1.1" 200 12402
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:33:31 +0530] "GET /e-society/assets/css/dropdown.css HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:33:31 +0530] "GET /e-society/assets/js/theme-change.js HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:33:31 +0530] "GET /e-society/assets/js/jquery.countup.js HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:33:31 +0530] "GET /e-society/assets/js/jquery-3.3.1.min.js HTTP/1.1" 200 69917
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:33:31 +0530] "GET /e-society/assets/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:33:31 +0530] "GET /e-society/assets/css/style-starter.css HTTP/1.1" 200 294282
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:33:31 +0530] "GET /e-society/assets/js/jquery.waypoints.min.js HTTP/1.1" 200 8833
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:33:31 +0530] "GET /e-society/assets/js/owl.carousel.js HTTP/1.1" 200 90057
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:33:31 +0530] "GET /e-society/assets/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:33:31 +0530] "GET /e-society/assets/images/banner1.jpg HTTP/1.1" 200 158215
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:33:31 +0530] "GET /e-society/assets/images/banner2.jpg HTTP/1.1" 200 210128
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:33:31 +0530] "GET /e-society/assets/images/banner3.jpg HTTP/1.1" 200 84951
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:33:31 +0530] "GET /e-society/assets/images/banner4.jpg HTTP/1.1" 200 136372
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:33:32 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Apr/2023:17:09:44 +0530] "GET /e-society/index.jsp HTTP/1.1" 200 12402
0:0:0:0:0:0:0:1 - - [14/Apr/2023:17:09:44 +0530] "GET /e-society/assets/css/style-starter.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2023:17:09:44 +0530] "GET /e-society/assets/css/dropdown.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2023:17:09:44 +0530] "GET /e-society/assets/js/theme-change.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2023:17:09:44 +0530] "GET /e-society/assets/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2023:17:09:44 +0530] "GET /e-society/assets/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2023:17:09:44 +0530] "GET /e-society/assets/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2023:17:09:44 +0530] "GET /e-society/assets/js/jquery.countup.js HTTP/1.1" 304 -
